Moment 1,Moment 2,Moment 3,Value 1,Value 2,Value 3,seed
0,6,11,2.445163150491652e-05,2.2497967341062453e-06,3.897144424903657e-06,2638479
0,6,12,2.8244021915260272e-05,1.55703061226798e-06,9.437900811268442e-07,257266028
0,7,8,6.723246913295636e-05,2.882332708192615e-06,3.4883589383196794e-06,1912019066
0,7,9,6.45026074423438e-05,3.8060368155016945e-06,3.338361276561885e-06,774875147
0,7,10,7.465595173150324e-05,1.7348404934209975e-06,1.3836481508141636e-06,388405861
0,7,11,7.933396056863644e-05,1.5670425527117258e-06,1.5270721642938895e-06,1582398444
0,7,12,8.475307217022351e-05,2.4531291413831863e-06,1.3470572159245198e-06,1174943782
0,8,9,0.00014462390791763837,3.2327005247961332e-06,3.3945227415033405e-06,391395188
0,8,10,0.00016749619055680243,2.757810509290642e-06,2.1364272790213257e-06,1904719638
0,8,11,0.00026050263441393227,5.492040331385297e-06,2.80439774389656e-06,2057558839
0,8,12,0.00016530592043727631,2.2364043672443035e-06,1.8121138986135659e-06,114008377
0,9,10,0.00026899321677410103,3.071550188597138e-06,3.0830295944631495e-06,1934524503
0,9,11,0.00032597898568054325,2.5825794792733314e-06,2.4604323414189066e-06,171793075
0,9,12,0.0003061675986664773,1.7678183150752558e-06,1.7470554855715661e-06,1058903984
0,10,11,0.00040061175224914643,3.610062676570001e-06,3.216440078032201e-06,1216078578
0,10,12,0.0004187043720902501,1.8514518220435698e-06,1.7638384335840262e-06,1231353853
0,11,12,0.0005219173111557526,2.2112050069498363e-06,2.0392097896108604e-06,353665530
0,-3,-2,4.277983071340359e-05,2.790679573602391e-06,4.0305285507458e-06,1892104885
0,-3,-1,6.39197286219002e-05,6.058800834664535e-06,2.6824400535088938e-05,2108368529
0,-3,1,5.0973493633967044e-05,2.673948863511922e-06,3.3699393319742854e-05,859517633
0,-3,2,5.000966487825216e-05,2.156630293261742e-06,2.3806870652438853e-05,2115882282
0,-3,4,2.190157577467431e-05,3.847052681789272e-06,2.5738668949305017e-06,1378955101
0,-3,5,2.1704249815020674e-05,2.2237456321761917e-06,2.6951931836688752e-06,2117922988
0,-3,6,2.1673627093968913e-05,2.7520960601932823e-06,8.591659339915488e-06,1596592127
0,-3,7,3.341898786105578e-05,2.868408145980986e-06,5.978180631521681e-06,472653968
0,-3,8,8.403560671236208e-05,7.1017526510810795e-06,1.5117983681274261e-05,1943576371
0,-3,9,9.270140988714901e-05,6.869686818052088e-06,2.311682208935405e-06,706442422
0,-3,10,9.120321612908171e-05,8.292315475918268e-06,7.877897686766363e-06,2041977015
0,-3,11,0.0001882090207804048,1.0621874072787931e-05,3.4517284731463213e-06,103022675
0,-3,12,0.00011076698909076788,9.284290150157072e-06,1.8877269025672452e-06,1833665014
0,-2,-1,0.00024123929477392315,2.206191224854469e-05,0.00010969964084468928,743673188
0,-2,1,0.00010803397502450811,1.732818490649823e-05,4.9857395734771945e-05,2138605098
0,-2,2,0.0002655022744960932,1.330300685242364e-05,9.814777957951632e-05,1902499773
0,-2,4,1.5273486910696442e-05,2.492958718154119e-06,2.0711551843995342e-06,716479224
0,-2,5,2.1155414002611608e-05,3.6339546257909106e-06,3.430356445859756e-06,1038781174
0,-2,6,2.733425485336525e-05,6.6635296529737095e-06,2.260242525176642e-06,1003378469
0,-2,7,3.9069339271519144e-05,5.094912001880049e-06,1.4401341127413267e-06,2142897776
0,-2,8,6.815725241737985e-05,7.54041218100878e-06,2.149111717786514e-06,214838992
